asset_id,destination_resource,scene_path,node_path,instance_count,quality_profile,lod,collision,disposition
bh_villa_ac_unit_01,assets/environment/architecture/villas/bh_villa_ac_unit_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_balcony_01,assets/environment/architecture/villas/bh_villa_balcony_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_boundary_wall_01,assets/environment/architecture/villas/bh_villa_boundary_wall_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_canopy_01,assets/environment/architecture/villas/bh_villa_canopy_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_column_01,assets/environment/architecture/villas/bh_villa_column_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_corner_01,assets/environment/architecture/villas/bh_villa_corner_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_driveway_01,assets/environment/architecture/villas/bh_villa_driveway_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_garage_opening_01,assets/environment/architecture/villas/bh_villa_garage_opening_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_gate_pedestrian_01,assets/environment/architecture/villas/bh_villa_gate_pedestrian_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_gate_vehicle_01,assets/environment/architecture/villas/bh_villa_gate_vehicle_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_parapet_01,assets/environment/architecture/villas/bh_villa_parapet_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_roof_edge_01,assets/environment/architecture/villas/bh_villa_roof_edge_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_satellite_dish_01,assets/environment/architecture/villas/bh_villa_satellite_dish_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_stair_01,assets/environment/architecture/villas/bh_villa_stair_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_wall_door_01,assets/environment/architecture/villas/bh_villa_wall_door_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_wall_solid_01,assets/environment/architecture/villas/bh_villa_wall_solid_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_wall_window_01,assets/environment/architecture/villas/bh_villa_wall_window_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_villa_water_tank_01,assets/environment/architecture/villas/bh_villa_water_tank_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/VillaDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_quarantine_generic_buildings->bh_cr_building_block_01,assets/environment/architecture/commercial/bh_cr_building_block_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/CommercialDistrict,1,balanced,0,simplified_box,integrated_canonicalized
inherited_generic_skyscrapers->bh_cr_skyscraper_tower_01,assets/environment/architecture/waterfront/bh_cr_skyscraper_tower_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/WaterfrontDistrict,1,balanced,0,simplified_box,integrated_canonicalized
inherited_generic_cars->bh_cr_vehicle_sedan_01,assets/vehicles/clean_room/bh_cr_vehicle_sedan_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/CommercialDistrict,1,balanced,0,simplified_box,integrated_canonicalized
bh_quarantine_palms->bh_cr_date_palm_01,assets/environment/vegetation/bh_cr_date_palm_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/WaterfrontDistrict,1,balanced,0,simplified_box,integrated_canonicalized
bh_quarantine_trees->bh_cr_shade_tree_01,assets/environment/vegetation/bh_cr_shade_tree_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_canonicalized
bh_quarantine_nature_props->bh_cr_desert_planter_01,assets/props/street/bh_cr_desert_planter_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/SouqDistrict,1,balanced,0,simplified_box,integrated_canonicalized
bh_quarantine_roads->bh_cr_road_straight_01,assets/environment/roads/bh_cr_road_straight_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/RoadNetwork,1,balanced,0,simplified_box,integrated_canonicalized
inherited_flexible_toon->bh_cr_mobile_toon_shader_01,assets/shaders/bh_cr_mobile_toon_shader_01.gdshader,res://scenes/world.tscn,World/AssetLab,1,shared_mobile,n/a,n/a,integrated_canonicalized
bh_traditional_ac_screen_01,assets/environment/architecture/traditional/bh_traditional_ac_screen_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_alley_arch_01,assets/environment/architecture/traditional/bh_traditional_alley_arch_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_bench_01,assets/environment/architecture/traditional/bh_traditional_bench_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_courtyard_hint_01,assets/environment/architecture/traditional/bh_traditional_courtyard_hint_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_parapet_01,assets/environment/architecture/traditional/bh_traditional_parapet_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_party_wall_01,assets/environment/architecture/traditional/bh_traditional_party_wall_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_projecting_window_01,assets/environment/architecture/traditional/bh_traditional_projecting_window_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_roof_tank_01,assets/environment/architecture/traditional/bh_traditional_roof_tank_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_shade_canopy_01,assets/environment/architecture/traditional/bh_traditional_shade_canopy_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_shop_bay_01,assets/environment/architecture/traditional/bh_traditional_shop_bay_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_timber_door_01,assets/environment/architecture/traditional/bh_traditional_timber_door_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_traditional_lamp_01,assets/environment/architecture/traditional/bh_traditional_traditional_lamp_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_utility_cable_01,assets/environment/architecture/traditional/bh_traditional_utility_cable_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
bh_traditional_vent_panel_01,assets/environment/architecture/traditional/bh_traditional_vent_panel_01_lod0.glb,res://scenes/world.tscn,World/AssetLab/TraditionalDistrict,1,balanced,0,simplified_box,integrated_runtime
